SID,Grade,late_mins,leave_early_mins,duration,duration_pct,present_sessions,joined_sessions,duration_std,score_avg_1,score_avg_2,score_avg_1_pctile,score_avg_2_pctile,quiz_completion_pct,has_quiz_data,called_on_days,response_pct,success_call_days,call_pctile,days_to_end,dropout
19040128,Grade 9-12,18.90666667,0.013333333,52.46666667,72.96021399,70,42,23.53739597,29.99668877,41.29456236,62.7814017,60.11619227,61.08727775,1,0,0,0,46.29014169,1,FALSE
19040150,Grade 9-12,8.348258706,2.189054726,59.32338308,84.23510914,191,92,20.49487498,70.07905625,78.8692589,95.20274854,94.04615584,91.00312434,1,0,0,0,46.29014169,0,FALSE
19040156,Grade 9-12,10.72727273,2.909090909,46,76.80519604,11,7,14.6628783,20.68666667,24.824,58.60965795,61.4668008,50.75757576,1,0,0,0,46.29014169,221,TRUE
19040158,Grade 9-12,8.22295082,6.478688525,46.95081967,76.11305418,280,109,16.79346896,58.44368645,65.53249329,99.25570743,95.29195316,91.2966538,1,0,0,0,46.29014169,1,FALSE
19040165,Grade 8,14.94736842,3.842105263,42.89473684,69.38563517,18,18,14.73429385,91.25835151,95.4699458,84.39756891,82.79854294,95.62193126,1,0,0,0,38.21848308,116,TRUE
19040175,Grade 9-12,16.65789474,3.578947368,40.11842105,66.73326949,66,34,15.6383862,0,0,19.84453947,19.84453947,21.85562186,1,0,0,0,46.29014169,177,TRUE
19040180,Grade 9-12,12.375,16.19642857,39.89285714,60.76584502,40,34,23.41924506,74.19638507,82.76196789,89.25157137,86.72924551,89.63118963,1,0,0,0,46.16051206,7,FALSE
19040195,Grade 9-12,15.48333333,0.658333333,43.125,72.75418762,117,66,9.931329343,20.87589827,37.2222619,60.26156942,61.19114688,57.1969697,1,0,0,0,46.29014169,1,FALSE
19040200,Grade 9-12,27.44845361,11.74226804,20.61340206,34.41614282,125,82,12.38627126,13.30335044,24.99989519,53.01883367,52.75099761,49.47057447,1,0,0,0,46.29014169,3,FALSE
19040228,Grade 9-12,17.75,0.96875,52.8125,72.69676227,32,23,18.95910284,7.742398795,22.43441856,39.48244897,38.14860754,32.32090315,1,0,0,0,46.29014169,193,TRUE
19040258,Grade 4,8.333333333,0.333333333,47.5,85.03755438,6,5,7.918333158,,,,,,0,0,0,0,24.86910995,233,TRUE
19040301,Grade 9-12,14,32.33333333,15,24.19354839,1,1,15.71623365,2.01591675,6.287877493,26.7618155,27.04114511,22.12569713,1,0,0,0,53.57142857,263,TRUE
19040318,Grade 9-12,13.0778098,3.682997118,49.70028818,74.13077898,319,131,20.30111688,39.10411015,51.25565602,71.28924154,67.62705822,76.61568495,1,0,0,0,46.29014169,0,FALSE
19042448,Grade 9-12,13.59375,32.16666667,28.625,39.87451719,74,62,12.54570591,43.16209596,62.72747619,65.27699354,63.16111425,61.61616162,1,0,0,0,46.29014169,8,FALSE
19042477,Grade 9-12,23.72,5.586666667,39.14666667,56.44195834,61,55,22.2872484,73.7205543,81.21226898,87.18693055,82.17692558,89.59584585,1,0,0,0,46.16051206,10,FALSE
19042647,Grade 8,14.41726619,16.64028777,29.4676259,48.71414084,116,77,12.53881057,72.41497138,83.21230158,79.7688627,81.25305218,78.83212755,1,1,50,1,56.69674395,1,FALSE
19042695,Grade 9-12,16.97222222,11.80555556,38.05555556,56.03152336,28,21,21.14702876,1.62015873,4.86047619,21.09584002,21.09584002,21.40473807,1,0,0,0,46.16051206,232,TRUE
19042777,Grade 8,14.04347826,6.52173913,39.91304348,65.8639734,19,20,17.68901314,93.44935694,97.73411326,93.49599837,92.99996662,95.62193126,1,3,50,3,61.47935264,115,TRUE
19050013,Grade 9-12,12.27272727,2.575757576,45.22727273,75.24486181,123,62,15.17309336,50.47656985,59.99386111,93.31964029,87.83615823,86.4535802,1,0,0,0,46.16051206,0,FALSE
19050037,Grade 9-12,15.81578947,4.631578947,50.28947368,70.50324551,36,28,20.99022668,98.70261785,110.9181953,93.96292114,98.73737374,90.15151515,1,0,0,0,46.16051206,59,TRUE
19050039,Grade 9-12,22.66666667,3.461538462,45.71794872,64.463699,34,27,21.3442322,13.75330688,26.23626374,42.4660687,39.761884,37.03703704,1,0,0,0,46.16051206,179,TRUE
19050076,Grade 9-12,10.13483146,22.98876404,35.87640449,54.24152809,85,45,9.483023378,23.50779461,43.80682773,65.66190158,63.98688132,54.85509861,1,0,0,0,46.16051206,10,FALSE
19050089,Grade 9-12,9.677419355,25.4516129,29.48387097,46.28489685,24,17,14.92173128,13.86701451,29.204625,42.59141915,42.41930697,34.47302822,1,0,0,0,46.16051206,212,TRUE
19050101,Grade 9-12,18.25,3.125,55.91666667,73.48782898,22,21,19.01239108,19.27888258,50.17516667,59.88733013,73.01983442,38.48304473,1,0,0,0,46.16051206,46,TRUE
19050118,Grade 9-12,14.08988764,9.415730337,43.12359551,66.04501982,81,45,15.33031772,9.652341091,17.73457428,37.44357197,36.46591834,32.02683203,1,0,0,0,46.16051206,94,TRUE
19050134,Grade 9-12,22.38288288,4.243243243,39.39189189,59.13667475,184,88,20.3397506,10.54761876,23.43948465,39.07249303,39.66238165,35.8507046,1,0,0,0,46.16051206,9,FALSE
19050153,Grade 9-12,12.09375,18.96875,42.78125,58.42284979,29,25,20.23847243,70.86680165,74.5581181,89.72926094,84.41460356,94.86231361,1,4,50,4,70.60659774,59,TRUE
19050190,Grade 9-12,13.22972973,34.48648649,18.02702703,28.77678833,39,56,11.62422243,8.993298461,19.0315023,49.08021957,43.43584829,46.60894661,1,0,0,0,37.59185653,8,FALSE
19050208,Grade 9-12,8.316205534,4.04743083,56.01581028,80.44350973,233,99,23.60084213,77.27287295,90.19087093,91.86993815,92.03826933,86.73616799,1,0,0,0,46.16051206,0,FALSE
19050221,Grade 9-12,31.54,5.48,28.52,43.58783243,33,33,20.02573854,8.898957161,25.64437491,40.80299817,43.18933432,29.89992157,1,0,0,0,46.16051206,36,TRUE
19050233,Grade 5,14.48529412,13.41176471,33.36764706,53.96762451,46,40,23.8883625,17.90350566,37.31831928,55.74192953,61.91198427,45.82509999,1,0,0,0,46.16051206,0,FALSE
19050296,Grade 9-12,9.897058824,10.42647059,44.35294118,71.18571596,61,36,15.77430814,0,0,19.83430013,19.83430013,18.63887697,1,0,0,0,46.32717873,16,FALSE
19050305,Grade 9-12,15.67934783,17.13586957,37.47282609,55.54839478,145,108,19.2509831,14.64647755,38.75572936,52.47985995,56.77836986,34.62374712,1,0,0,0,46.16051206,8,FALSE
19050313,Grade 9-12,19.32876712,3.547945205,37.05479452,61.86267807,67,39,15.65149124,23.25921171,32.54764242,55.66576852,59.66896085,48.22306072,1,0,0,0,46.16051206,163,TRUE
19050342,Grade 9-12,25.54787234,6.085106383,28.18617021,47.45759604,121,65,18.8646295,18.89271197,27.92171514,50.6089154,52.20029213,48.55580689,1,0,0,0,46.16051206,0,FALSE
19050349,Grade 9-12,16.24074074,2.407407407,48.83333333,72.1604707,53,30,18.41220883,4.562279541,11.93782609,32.16402595,30.6113564,27.52335669,1,0,0,0,46.16051206,220,TRUE
19050352,Grade 9-12,24.5625,1.9375,47.6875,65.95751672,16,12,15.60648904,16.05520172,27.09720182,46.48915672,43.64860838,41.00529101,1,0,0,0,46.16051206,199,TRUE
19052454,Grade 9-12,10.74233129,2.196319018,56.80981595,80.75831204,155,89,20.66294834,15.18761845,36.48071429,47.28575626,50.50499837,31.9023569,1,0,0,0,46.16051206,8,FALSE
19052826,Grade 9-12,21.78455285,6.910569106,31.2804878,52.22617347,185,97,16.73388916,11.29741883,22.24254579,41.53053223,42.1709399,39.27986428,1,0,0,0,46.16051206,2,FALSE
19060016,Grade 9-12,8.785714286,0.910714286,56.26785714,84.58496875,111,54,18.3960347,,,,,,0,0,0,0,53.57142857,140,TRUE
19060027,Grade 9-12,6.25,14.75,45.5,66.20132061,3,3,34.34627588,29.80003187,43.81121212,64.85042535,67.84755967,55.37518038,1,0,0,0,46.32717873,113,TRUE
19060038,Grade 9-12,23.10784314,11.46078431,25.74509804,42.91008991,59,32,20.13011451,,,,,,0,0,0,0,46.32717873,3,FALSE
19060056,Grade 9-12,13.85714286,6.714285714,42.42857143,67.04619546,19,9,18.14544414,10.01808153,25.672876,39.57336274,40.50985724,31.88605272,1,0,0,0,46.32717873,252,TRUE
19060063,Grade 9-12,13.1038961,13.75324675,33.61038961,55.63991336,57,38,18.611086,61.26002413,74.52372143,96.20273662,93.63614282,83.78378378,1,0,0,0,46.32717873,0,FALSE
19060131,Grade 9-12,21.25714286,11.9,34.62857143,52.25071199,95,53,24.49969692,52.80197556,62.35451856,76.53303633,70.79484267,82.30551981,1,0,0,0,46.32717873,0,FALSE
19060141,Grade 9-12,8.541666667,1.458333333,50.70833333,83.83953073,46,27,11.92344077,3.405405405,9,26.17128203,26.72994125,22.70501021,1,4,50,4,70.7732644,101,TRUE
19060160,Grade 9-12,15.3877551,4.234693878,48.33673469,70.18208778,88,41,21.19275498,10.68657765,19.40410857,38.57539154,37.06449648,36.25113208,1,0,0,0,46.32717873,176,TRUE
19060172,Grade 9-12,19.71428571,13.38095238,37.19047619,52.88412257,17,15,21.77525901,10.69507508,30.03848739,40.37230059,43.17123971,28.8987039,1,0,0,0,46.32717873,221,TRUE
19060183,Grade 9-12,15.53435115,8.561068702,40.47328244,62.51865779,228,108,19.02763799,65.97153575,72.32473992,90.00375794,88.00414302,89.86876487,1,0,0,0,46.32717873,8,FALSE
19060191,Grade 9-12,13.61585366,1.68902439,50.62804878,75.91670476,311,132,19.89626169,49.99632768,66.1956196,83.11733834,82.33824354,78.11631978,1,0,0,0,46.32717873,0,FALSE
19060197,Grade 9-12,9.55625,4.1875,51.846875,79.23467006,304,125,15.42089704,70.23584008,75.19537057,95.94803992,92.57459592,93.38656839,1,0,0,0,46.32717873,7,FALSE
19060202,Grade 9-12,12.49344978,1.978165939,45.5371179,75.96492053,214,96,14.39830255,41.2186972,55.31728571,78.84188957,80.87855519,75.68591319,1,0,0,0,46.32717873,0,FALSE
19060227,Grade 9-12,11,4.161290323,61.96774194,79.81253421,31,25,21.07839948,11.21312049,34.74279762,45.05669546,47.50954696,30.62169312,1,0,0,0,46.32717873,64,TRUE
19060249,Grade 9-12,25.09352518,2.107913669,37.64748201,57.25539436,124,84,18.58231328,11.23714935,23.75575709,44.74231465,45.13610894,35.63742314,1,0,0,0,46.32717873,0,FALSE
19060250,Grade 9-12,11.49180328,2.672131148,51.85245902,78.30408086,58,26,20.30667876,10.71206468,27.13572059,40.27193398,43.12304149,30.84989752,1,0,0,0,46.32717873,226,TRUE
19060258,Grade 9-12,13.66315789,5.968421053,47.35789474,69.8483275,85,47,21.88456942,26.35223787,51.63548289,67.96644086,69.25867649,49.35649936,1,0,0,0,46.32717873,175,TRUE
19060340,Grade 9-12,17.5046729,4.990654206,37.78504673,62.59996804,89,44,18.23744233,28.43675676,47.82545455,58.65921788,53.63128492,59.45945946,1,0,0,0,46.32717873,1,FALSE
19060345,Grade 9-12,20.65384615,10,30.38461538,49.5718925,21,17,13.29684752,5.930465465,19.22675824,34.16427057,36.4257118,24.57563083,1,0,0,0,46.32717873,51,TRUE
19060347,Grade 9-12,31,1,28.5,46.72131148,2,2,6.363961031,72.71698973,83.8754698,87.59384153,86.42138972,85.1014976,1,0,0,0,46.32717873,217,TRUE
19062552,Grade 9-12,13.16788321,12.72262774,40.32116788,59.84430665,100,45,26.03022404,0,0,24.4357449,24.4357449,16.66666667,1,0,0,0,53.57142857,23,FALSE
19062618,Grade 9-12,13.49681529,1.535031847,44.87261146,74.8894932,151,81,12.12315337,35.35559802,51.8344059,69.70933625,70.93811912,70.3024453,1,0,0,0,46.16051206,0,FALSE
19062831,Grade 9-12,4.428571429,25.88435374,44.19047619,61.80380631,134,66,13.58349791,99.69684343,99.69684343,95.35886818,88.87477257,100,1,0,0,0,46.32717873,1,FALSE
19062878,Grade 9-12,5.941176471,26.05882353,31.05882353,51.496401,12,12,17.78155852,0,0,19.28316827,19.28316827,15.41005291,1,0,0,0,46.32717873,189,TRUE
19070008,Grade 9-12,9.839449541,6.055045872,52.94495413,77.58256882,214,96,14.40131514,37.91586504,54.36369577,67.90976579,68.87100734,60.35012285,1,0,0,0,46.75310466,1,FALSE
19070018,Grade 9-12,17,0.5,56.5,77.57309942,2,2,14.8492424,66.87191619,77.34253763,89.89600404,90.33299357,86.99194324,1,0,0,0,46.75310466,178,TRUE
19070027,Grade 9-12,13.6875,10.6875,34.4375,58.77408086,14,13,16.5528195,3.508333333,6.406521739,25.98385184,23.8409947,25.95615096,1,0,0,0,46.75310466,170,TRUE
19070029,Grade 9-12,9.444444444,2.968253968,55.84920635,80.63973028,234,99,22.11868294,72.96234379,85.29391065,88.30179988,89.2294856,83.7479525,1,0,0,0,46.75310466,1,FALSE
19070055,Grade 9-12,11.27777778,4.277777778,44.44444444,74.04613279,36,26,8.25813692,69.93677938,76.05013262,95.81768973,93.31198111,91.67251667,1,0,0,0,46.75310466,115,TRUE
19070059,Grade 9-12,13,0,78,85.71428571,1,1,,67.31357062,90.69643566,83.75228393,94.7388411,73.16366691,1,0,0,0,46.75310466,260,TRUE
19070079,Grade 9-12,13.78723404,2.604255319,49.57021277,74.4732075,227,114,18.19617593,35.52682025,48.23991112,64.68719033,64.78326004,56.21075621,1,0,0,0,46.75310466,0,FALSE
19070103,Grade 9-12,7.565217391,12.69565217,50.63043478,73.39671833,45,33,14.19758774,38.73714105,62.40505399,72.27944434,76.99380561,65.00420875,1,0,0,0,46.75310466,87,TRUE
19070116,Grade 9-12,31.17560976,7.087804878,23.76585366,37.95136482,129,66,16.67579568,64.84598403,74.18490305,81.18199238,78.34982165,87.18109343,1,0,0,0,46.75310466,0,FALSE
19070137,Grade 9-12,12.24590164,14.63114754,41.38934426,63.12597798,213,98,16.97541339,79.56144428,86.20581184,95.15112785,90.30581326,91.89189189,1,0,0,0,46.75310466,1,FALSE
19070196,Grade 9-12,34,0,26,43.33333333,1,1,,26.11349802,39.05344139,52.90446346,53.62099516,49.54180371,1,0,0,0,46.75310466,248,TRUE
19070244,Grade 9-12,0.666666667,33.66666667,26,43.30523911,3,3,5.567764363,0,0,19.28316827,19.28316827,15.41005291,1,0,0,0,46.75310466,218,TRUE
19070296,Grade 9-12,11.75,0.25,47.75,78.71418136,4,3,8.958236434,,,,,,0,0,0,0,53.57142857,261,TRUE
19072725,Grade 9-12,1.896551724,1.017241379,59.15517241,95.38675213,174,74,11.44193947,24.97387446,38.18591954,64.59356137,63.11871227,65.20562771,1,0,0,0,46.75310466,0,FALSE
19082888,Grade 9-12,11,11.91666667,42.08333333,67.59462089,10,6,19.90640981,56.27976168,61.16412516,80.72560337,72.73566737,92.91109291,1,0,0,0,53.57142857,210,TRUE
20003120,Grade 5,2.180722892,2.819277108,61.96385542,92.5964303,164,96,15.82705454,19.3569344,49.04747475,31.70955882,32.02658781,37.89379604,1,0,0,0,25.44946037,1,FALSE
20003182,Grade 5,7.75,4.60106383,46.45744681,78.1613416,168,108,15.70494312,47.46159696,70.90480952,60.21153026,61.99381927,59.53361982,1,4,66.66666667,4,52.34365862,0,FALSE
20003290,Grade 5,7.468253968,5.238095238,48.05555556,78.98008501,113,52,17.69985562,19.97976182,55.88408942,39.29827366,40.58503836,34.36701033,1,5,50,5,54.85360545,1,FALSE
20003356,Grade 4,10.25925926,4.481481481,45.75925926,75.55179411,48,26,16.70152539,20.79835294,56.17272727,50,55.08405978,38.17647059,1,2,50,2,51.4428506,176,TRUE
20003366,Grade 4,12.90804598,17.95402299,31.17816092,50.56699897,101,52,25.89546315,72.24730518,84.92932143,82.96242775,80.71903711,84.96604639,1,0,0,0,29.72339359,2,FALSE
20003379,BA 5,19,28.33333333,19.66666667,29.36507937,2,2,19.75685535,,,,,,0,0,0,0,33.33333333,253,TRUE
20003488,Grade 5,24.55223881,10.91044776,25.10447761,41.30015824,40,39,18.65486721,20.63994892,62.39348801,39.10912191,49.25138534,31.64379604,1,4,50,4,50.44946037,1,FALSE
20003504,Grade 5,10.65294118,5.370588235,43.26470588,72.18504631,151,76,17.13487883,23.53841757,64.77270924,50.00399616,55.96094416,35.08129604,1,1,50,1,44.41627787,1,FALSE
20003505,Grade 5,20.85714286,1.308571429,33.38857143,60.28305653,146,90,16.37273756,36.7230651,72.14662097,66.39492754,67.38864024,47.38040319,1,7,66.66666667,7,58.53261592,1,FALSE
20003541,BA 4,21.2,30.09090909,9.436363636,15.47963239,8,9,13.20180071,,,,,,0,0,0,0,26.2295082,210,TRUE
20003573,Grade 5,7.303225806,7.206451613,44.80645161,75.07250942,139,82,17.7990576,45.15180196,77.407371,73.92636402,71.39546036,58.04774393,1,4,100,4,65.40073383,2,FALSE
20003577,Grade 5,8.252336449,3,46.56542056,80.00090837,199,91,15.13733439,71.13666325,96.80098647,93.91650682,96.58594416,73.24021829,1,8,55.55555556,7,63.29104114,0,FALSE
20003598,Grade 5,6.983870968,3.733870968,49.91129032,82.19880821,120,60,11.15085916,49.61962961,74.49456731,65.77951833,65.07352941,62.39685649,1,12,45.83333333,11,66.7707039,1,FALSE
20003609,Grade 5,10.18181818,6.642424242,43.7030303,72.21998985,139,70,19.86332085,38.50992164,72.17151485,60.1049659,60.84292413,53.04038621,1,0,0,0,25.70947631,1,FALSE
20003619,Grade 4,13.54,8.14,38.86,64.03774256,42,25,17.17260514,11.798,21.06785714,33.52272727,31.55821918,36.82352941,1,1,50,1,46.86999044,176,TRUE
20003633,Grade 5,10.77777778,2.777777778,46.55555556,77.37369255,8,9,17.97992708,13.90630823,38.84676025,34.21781756,32.21174339,30.74671837,1,0,0,0,25.44946037,18,FALSE
20003729,Grade 5,8.122222222,4.844444444,47.52222222,78.63825986,84,59,15.43906309,25.75048599,64.73055556,51.88618926,56.62031117,37.27294887,1,1,50,1,36.71889043,3,FALSE
20003731,Grade 4,8.28125,4.697916667,44.69791667,77.2876245,189,85,9.769189511,29.11329747,67.878,55.27620862,63.25743479,41.16690184,1,5,100,5,71.56833132,1,FALSE
20003761,Grade 5,17.08368201,1.769874477,36.71548117,67.23409858,206,96,16.11990949,53.31093502,82.05419251,76.23348252,77.29646206,62.79351889,1,0,0,0,25.44946037,1,FALSE
20003814,Grade 5,2.307692308,2.632478632,55.73504274,91.86405968,112,61,11.43451608,9.370803052,26.54446023,23.07251705,22.52903879,25.35497617,1,0,0,0,25.44946037,1,FALSE
20003966,Grade 5,8.231343284,2.223880597,50.11940299,82.34858663,132,80,12.49604134,33.67356946,74.24342569,61.51960784,69.62116368,41.91165319,1,1,33.33333333,1,35.5903714,0,FALSE
20003973,Grade 5,9.387096774,2.516129032,48.61290323,80.09674399,29,15,13.2001955,17.1052795,57.76507692,48.03921569,43.38235294,29.44099379,1,0,0,0,25.44946037,206,TRUE
20003993,Grade 6,26.4,10.2,24,39.3818107,10,17,20.46306043,24.18593224,43.33943278,44.70238095,41.19345238,42.43553837,1,0,0,0,35.32994116,193,TRUE
20004043,Grade 5,4.612676056,3.732394366,52.35915493,86.21376246,132,64,14.86837834,79.18204283,98.59885668,99.23806479,99.23806479,80.30543569,1,10,50,10,64.309564,3,FALSE
20004159,Grade 5,6.684210526,0.052631579,53.89473684,88.88432192,19,12,10.67132574,1.914285714,6.090909091,10.4419757,10.56452472,18.20692799,1,0,0,0,25.44946037,232,TRUE
20004176,Grade 4,15.33590734,2.305019305,38.6988417,68.74038992,247,98,11.66796942,49.62239338,81.20667361,77.99527063,81.31433305,59.46860393,1,12,100,12,75.75385168,1,FALSE
20004183,Grade 5,2.728813559,2.677966102,55.1779661,91.00193787,115,60,10.9056806,61.67415188,80.29792896,78.57257033,74.26470588,77.35027264,1,4,37.5,3,50.44946037,2,FALSE
20004189,Grade 8,3.344497608,2.306220096,55.19138756,90.82389871,202,113,10.95189317,55.03537791,75.42863123,66.6336367,66.70939286,64.71522407,1,61,50,61,70.82717873,1,FALSE
20004267,Grade 5,12.9804878,8.653658537,36.43414634,62.94336547,169,111,17.56589289,18.81364918,57.68029762,43.29976556,44.44000426,32.87348332,1,7,83.33333333,6,73.86574997,10,FALSE
20004408,Grade 4,7.429951691,11.90338164,38.31884058,66.52944518,193,94,10.96883416,63.86527088,88.34027094,81.92886232,84.71655995,71.84002117,1,2,50,2,54.19983338,1,FALSE
20004477,Grade 5,9.122137405,6.885496183,44.71755725,72.9824219,120,87,16.73976142,47.41643426,74.91826201,60.06367221,64.16107204,55.93522046,1,5,26.66666667,4,47.68018141,0,FALSE
20004500,Grade 5,5.975409836,1.098360656,53.71311475,88.43511859,119,60,9.662468507,16.47190378,54.90749684,36.76870205,39.57667306,31.64379604,1,0,0,0,25.44946037,1,FALSE
20004536,Grade 5,8.662921348,5.595505618,45.74157303,76.15916491,84,64,11.77876372,67.4564343,90.46919143,85.04901961,86.42369991,74.71898472,1,3,75,2,61.25565611,2,FALSE
20004573,Grade 7,14.84210526,9.421052632,37.10526316,60.13748248,16,16,16.34657537,20.99290199,54.05453768,45.27260804,44.61244771,37.95006115,1,1,50,1,51.36409148,106,TRUE
20004643,Grade 5,15.47692308,3.646153846,41.56923077,68.32526118,120,60,16.77296573,36.21730346,75.14515686,66.24040921,67.4365942,48.21446627,1,6,50,6,57.83288006,2,FALSE
20004665,Grade 6,8.939393939,1.181818182,51.0530303,83.36006371,129,66,10.87213287,65.55997028,68.71132279,69.81845238,71.25,74.55108903,1,3,50,3,58.53436105,1,FALSE
20004803,Grade 5,25.45454545,4.204545455,31.36363636,51.50204567,37,26,13.83640447,14.8850218,41.57727273,28.82965686,31.73619991,29.50676188,1,0,0,0,25.44946037,1,FALSE
20004812,Grade 5,8.955882353,6.264705882,44.90441176,73.9302846,117,68,19.014567,28.98778456,57.71667989,50.19980818,44.76236147,46.98173209,1,7,75,6,76.57306247,1,FALSE
20004828,Grade 5,18.89655172,15.65517241,25.68965517,42.54368695,18,18,15.87249069,5.500601618,24.52308081,18.09995737,19.22953964,20.25986747,1,0,0,0,25.44946037,93,TRUE
20004908,Grade 5,7.635514019,9.308411215,43.80373832,72.03343653,83,38,22.74320933,70.94729651,80.71920228,77.44565217,68.47826087,87.53633721,1,0,0,0,16.32124352,1,FALSE
20004916,Grade 4,13.74642857,5.453571429,37.575,66.40539011,242,129,15.72095661,29.19574813,52.43619175,49.66861534,53.04914944,45.28432842,1,26,100,26,86.56119083,0,FALSE
20004934,Grade 4,8.829787234,1.907801418,50.68794326,82.477056,136,86,12.5431454,52.69280839,64.71417293,72.44022596,64.00342406,79.34839933,1,2,33.33333333,2,42.47424608,0,FALSE
20004946,Grade 5,4.551181102,3.811023622,52.13385827,85.84268579,122,66,11.9982553,65.37214863,84.47163322,81.33258738,77.61881927,77.23652138,1,17,100,17,75.82170591,1,FALSE
20004947,Grade 5,7.166666667,4.696969697,45.30808081,78.86687525,178,88,15.57334164,44.27204276,83.63386353,72.31058184,79.0454497,52.59030135,1,16,100,16,87.83438445,8,FALSE
20004949,Grade 5,7.375,6.229166667,42.63333333,75.97830552,214,90,15.96567098,27.90613013,58.7266171,52.28447357,43.89785806,44.82993735,1,24,100,24,90.3335248,0,FALSE
20004951,Grade 4,9.390134529,6.206278027,40.47085202,71.92358965,203,99,15.04101907,39.05211437,68.182337,65.34156595,63.82746721,56.99417938,1,18,100,18,91.62017405,0,FALSE
20004990,Grade 5,9.776190476,8.40952381,38.51904762,67.88861614,173,99,18.68863788,28.00150463,61.67095377,49.59505541,47.30924979,43.02772461,1,11,58.33333333,10,62.47912743,0,FALSE
20005018,Grade 5,11.74468085,3.822695035,45.19148936,74.3702857,129,65,15.47390194,25.20692479,57.90676962,40.05354859,42.66970375,39.45629604,1,1,50,1,36.71889043,1,FALSE
20005027,Grade 5,11.5862069,8.75,36.58189655,64.36917836,193,90,16.58200714,77.90639603,97.08118419,95.385763,94.57054561,80.30543569,1,17,100,17,88.55082487,10,FALSE
20005043,Grade 4,9.351851852,6.365740741,42.18981481,72.71878469,189,87,17.48158068,21.3083708,47.57525568,48.36245402,44.35510081,43.85959961,1,12,100,12,88.81097344,3,FALSE
20005122,Grade 4,6.75,5.75,47.75,78.32760444,4,3,10.78192933,0,0,20,19.91438356,20.82352941,1,0,0,0,29.72339359,262,TRUE
20005131,Grade 5,6.340740741,2.555555556,51.67407407,85.18601524,128,67,12.85268404,46.71249542,70.13178372,68.76332055,60.23817136,66.48070742,1,1,0,0,36.71889043,1,FALSE
20005169,Grade 4,21.48,11.24,28.04,46.31325368,13,9,23.87725557,,,,,,0,0,0,0,24.86910995,186,TRUE
20005286,Grade 5,12.02564103,3.128205128,45.44871795,74.85422664,73,48,13.66448372,22.63565599,57.10561111,39.23699915,42.00500853,36.60691716,1,4,50,4,50.44946037,2,FALSE
20005297,Grade 5,12.94736842,12.21052632,34.89473684,58.12746954,15,14,19.76499357,16.4137314,54.67428283,34.78127664,38.19932864,30.86254604,1,5,87.5,4,69.41627787,87,TRUE
